Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758940401,10,,Aggregated,3.500000,0.000000,1100,2500,3000,3100,4700,5100,5600,5600,5700,5700,5700,109,0,1100.0,2017.193534862385,200.62159999999983,5668.949099999999,121.05504587155963
1758940402,10,,Aggregated,3.700000,0.000000,1100,2500,3000,3100,4700,5100,5600,5600,5700,5700,5700,114,0,1100.0,2029.4482482456137,200.62159999999983,5668.949099999999,120.78947368421052
1758940403,10,,Aggregated,3.600000,0.000000,1100,2500,3000,3100,4700,5100,5600,5600,5700,5700,5700,116,0,1100.0,2026.2487482758618,200.62159999999983,5668.949099999999,120.6896551724138
1758940404,10,,Aggregated,3.600000,0.000000,1100,2500,2900,3100,4700,5100,5600,5600,5700,5700,5700,117,0,1100.0,2016.9729256410255,200.62159999999983,5668.949099999999,120.64102564102564
1758940405,10,,Aggregated,3.900000,0.000000,1100,2700,3000,3100,4600,4900,5600,5600,5700,5700,5700,125,0,1100.0,2084.7447767999997,200.62159999999983,5668.949099999999,120.28
1758940406,10,,Aggregated,3.700000,0.000000,1100,2700,3000,3100,4600,4900,5600,5600,5700,5700,5700,129,0,1100.0,2087.597055813954,200.62159999999983,5668.949099999999,120.11627906976744
1758940407,10,,Aggregated,3.500000,0.000000,1100,2600,3000,3100,4600,4900,5600,5600,5700,5700,5700,130,0,1100.0,2079.1717092307695,200.62159999999983,5668.949099999999,120.07692307692308
1758940408,10,,Aggregated,4.200000,0.000000,1100,2600,3000,3100,4600,4900,5600,5600,5700,5700,5700,134,0,1100.0,2068.6173858208963,200.62159999999983,5668.949099999999,119.92537313432835
1758940409,10,,Aggregated,3.800000,0.000000,1100,2600,3000,3100,4600,4900,5600,5600,5700,5700,5700,136,0,1100.0,2065.59723382353,200.62159999999983,5668.949099999999,119.8529411764706
1758940410,10,,Aggregated,3.600000,0.000000,1200,2700,3000,4200,4600,4700,5600,5600,5700,5700,5700,144,0,1200.0,2119.7153402777785,200.62159999999983,5668.949099999999,119.58333333333333
1758940411,10,,Aggregated,3.700000,0.000000,1200,2700,3000,4200,4600,4700,5600,5600,5700,5700,5700,148,0,1200.0,2122.635530405406,200.62159999999983,5668.949099999999,119.45945945945945
1758940412,10,,Aggregated,3.600000,0.000000,1200,2700,3000,4200,4600,4700,5600,5600,5700,5700,5700,150,0,1100.0,2106.1956260000006,200.62159999999983,5668.949099999999,119.4
1758940414,10,,Aggregated,4.100000,0.000000,1200,2700,3000,3100,4600,4700,5400,5600,5700,5700,5700,153,0,1200.0,2104.025033333334,200.62159999999983,5668.949099999999,119.31372549019608
1758940415,10,,Aggregated,3.900000,0.000000,1200,2700,3000,3100,4600,4700,5400,5600,5700,5700,5700,154,0,1200.0,2101.385805194806,200.62159999999983,5668.949099999999,119.28571428571429
1758940416,10,,Aggregated,3.600000,0.000000,1400,2700,3000,4200,4600,4700,5400,5600,5700,5700,5700,161,0,1400.0,2159.631998136647,200.62159999999983,5668.949099999999,119.09937888198758
1758940417,10,,Aggregated,3.700000,0.000000,1400,2700,3000,4200,4600,4900,5400,5600,5700,5700,5700,164,0,1300.0,2162.558159756098,200.62159999999983,5668.949099999999,119.02439024390245
1758940418,10,,Aggregated,3.700000,0.000000,1400,2700,3100,4200,4600,4900,5400,5600,5700,5700,5700,167,0,1400.0,2167.5198173652702,200.62159999999983,5668.949099999999,118.95209580838323
1758940419,10,,Aggregated,3.600000,0.000000,1400,2700,3000,4200,4600,4900,5400,5600,5700,5700,5700,170,0,1300.0,2154.588895294118,200.62159999999983,5668.949099999999,118.88235294117646
1758940420,10,,Aggregated,3.500000,0.000000,1300,2700,3000,4200,4600,4900,5400,5600,5700,5700,5700,172,0,1200.0,2139.8786383720935,200.62159999999983,5668.949099999999,118.83720930232558
1758940421,10,,Aggregated,3.600000,0.000000,1500,2700,3100,4200,4600,4900,5400,5600,5700,5700,5700,180,0,1400.0,2187.0648372222226,200.62159999999983,5668.949099999999,118.66666666666667
1758940422,10,,Aggregated,3.600000,0.000000,1400,2700,3100,4200,4600,4700,5400,5600,5700,5700,5700,183,0,1400.0,2183.512959016394,200.62159999999983,5668.949099999999,118.60655737704919
1758940423,10,,Aggregated,3.600000,0.000000,1400,2700,3100,4200,4600,4700,5400,5600,5700,5700,5700,187,0,1400.0,2169.9602224598934,200.62159999999983,5668.949099999999,118.52941176470588
1758940424,10,,Aggregated,3.500000,0.000000,1400,2700,3000,4200,4600,4700,5400,5600,5700,5700,5700,190,0,1400.0,2158.1088652631583,200.62159999999983,5668.949099999999,118.47368421052632
